,fold,val_auroc_mean,val_auroc_ci,test_auroc_mean,test_auroc_ci,test_auprc_mean,test_auprc_ci
0,0,0.5182571802289215,0.42497231718196554-0.6115420432758775,0.5683641437042205,0.5335146551746848-0.6032136322337562,0.3550881617472294,0.32141820281752864-0.38875812067693016
1,1,0.5524829123106146,0.4359746367433148-0.6689911878779145,0.5848946755583783,0.550729290603084-0.6190600605136726,0.4308678306473918,0.39653204930227287-0.46520361199251076
2,2,0.5473577130416754,0.48229006855066947-0.6124253575326812,0.5347291458956464,0.500471941280498-0.5689863505107947,0.3166091219467927,0.2846622478676492-0.3485559960259362
3,3,0.5522990861638324,0.426391486189276-0.6782066861383887,0.5474316487158244,0.5130839698797074-0.5817793275519414,0.37105446229190187,0.3377182922955658-0.4043906322882379
4,4,0.5606902431137373,0.4671310825636891-0.6542494036637854,0.5030728709394205,0.46798041336458934-0.5381653285142518,0.30684254539786837,0.2744738110359073-0.33921127975982945
