,drug,outcome,data_type,val_auroc,test_auroc_mean,test_auroc_ci,test_auprc_mean,test_auprc_ci
0,vegf,OS,clin,0.5796411161426959,0.9550025138260432,0.9397616171346849-0.9702434105174015,0.9734996499628248,0.9616907935783756-0.9853085063472744
0,reg,PFS,comb,0.7388278388278389,0.989010989010989,0.9656997764443996-1.0123222015775786,0.99429416737109,0.9774518455256307-1.0111364892165495
0,reg,PFS,mut,0.7239926739926741,1.0,1.0-1.0,1.0,1.0-1.0
0,reg,PFS,cna,0.7249084249084251,1.0,1.0-1.0,1.0,1.0-1.0
0,reg,PFS,clin,0.7271062271062272,1.0,1.0-1.0,0.9999999999999998,0.9999999966679989-1.0000000033320007
0,egfr,PFS,cna,0.5287284610814023,0.876734693877551,0.8374425699068568-0.9160268178482451,0.8773874948209351,0.838184965975249-0.916590023666621
0,egfr,OS,mut,0.5200072463768116,0.8572649572649573,0.8157510447301184-0.8987788697997963,0.9132673883470244,0.8798662696745146-0.9466685070195339
0,vegf,PFS,comb,0.5223755933136585,0.8078250863060991,0.7782928038135944-0.8373573687986037,0.8092455514582929,0.7797967586420688-0.8386943442745173
0,reg,OS,comb,0.6856190476190476,1.0,1.0-1.0,0.9999999999999998,0.9999999967482999-1.0000000032516998
0,egfr,OS,clin,0.5189855072463768,0.7838095238095238,0.7349561712215523-0.8326628763974954,0.8887813679242338,0.8514686340115102-0.9260941018369574
0,egfr,PFS,mut,0.5262972865914042,0.8087633087633088,0.7617579566118883-0.8557686609147294,0.8311227108083633,0.7863442481302727-0.8759011734864539
0,egfr,OS,cna,0.5206014492753623,0.7978723404255319,0.7502127392011719-0.8455319416498919,0.8731690895773856,0.8336749590482384-0.9126632201065328
0,reg,OS,mut,0.6873650793650794,1.0,1.0-1.0,1.0,1.0-1.0
0,egfr,PFS,clin,0.5265201029906912,0.8453267162944582,0.80210809282638-0.8885453397625365,0.8722622197051417,0.8323657752197706-0.9121586641905128
0,egfr,PFS,comb,0.526010101010101,0.8692178301093355,0.8289192668720342-0.9095163933466368,0.9162907317304628,0.8831887191297343-0.9493927443311916
0,egfr,OS,comb,0.5256521739130434,0.8579638752052545,0.8165348481545656-0.8993929022559435,0.9055482092080144,0.8708400395304207-0.9402563788856079
0,reg,OS,clin,0.6872698412698413,1.0,1.0-1.0,1.0,1.0-1.0
0,reg,OS,cna,0.6808888888888889,1.0,1.0-1.0,0.9999999999999998,0.9999999967482999-1.0000000032516998
0,vegf,PFS,clin,0.5196148516944177,0.8383387445887445,0.8107455018572561-0.8659319873202328,0.7361188265729838,0.7030842941015593-0.7691533590444083
0,vegf,OS,clin,0.5768721138152151,0.9154097536450476,0.894950864534026-0.9358686427560695,0.9494611783133616,0.9333560088916015-0.9655663477351215
0,vegf,OS,cna,0.5784465567727645,0.9377811094452774,0.9200218027548804-0.9555404161356743,0.9633035378729472,0.9494803627000111-0.9771267130458835
0,vegf,PFS,cna,0.5182043406161851,0.8387646835922699,0.8112008160664479-0.8663285511180918,0.8112758988988961,0.7819475260539157-0.8406042717438764
0,vegf,OS,comb,0.5772752626244422,0.9343205158824934,0.9161077063891481-0.9525333253758388,0.9539685523277422,0.9385618929221381-0.9693752117333464
0,vegf,OS,mut,0.5784534459113154,0.9940991345397324,0.9884681175190729-0.9997301515603921,0.997151673272582,0.9932334457622028-1.001069900782961
0,vegf,PFS,mut,0.5220351245599889,0.7262498401738908,0.6928295501465308-0.7596701302012508,0.6938240750977023,0.6592778816365609-0.7283702685588437
