,drug,outcome,data_type,val_auroc,test_auroc_mean,test_auroc_ci,test_auprc_mean,test_auprc_ci
0,reg,OS,mut,0.8166233766233766,0.25,0.1555088817476932-0.3444911182523068,0.7545054044985751,0.6605887750362044-0.8484220339609457
0,reg,OS,clin,0.7153102453102453,0.8125,0.7273268570163441-0.8976731429836559,0.9255355245244952,0.8682478139801513-0.9828232350688388
0,reg,OS,cna,0.765824915824916,0.4111111111111111,0.3037401995958233-0.5184820226263989,0.7439105751489652,0.6486646200216261-0.8391565302763043
0,reg,OS,comb,0.8334253246753247,0.8,0.7127128439056031-0.887287156094397,0.9225416734753036,0.8642082581651476-0.9808750887854596
0,reg,PFS,mut,0.7241666666666666,0.6813186813186813,0.5771257027153094-0.7855116599220533,0.8378743823388379,0.7554605176802901-0.9202882469973858
0,reg,PFS,cna,0.6743121693121694,0.5934065934065934,0.4835714423145647-0.7032417444986221,0.7652943954116851,0.6705265517717804-0.8600622390515897
0,reg,PFS,clin,0.6395370370370371,0.6770833333333333,0.5725267713547669-0.7816398953118996,0.7439696027012205,0.6463789184742389-0.8415602869282021
0,reg,PFS,comb,0.7228156565656565,0.6458333333333333,0.5388911436024116-0.7527755230642549,0.7013089647280825,0.5989676972158742-0.8036502322402908
0,vegf,OS,mut,0.6723226723068646,0.7178910544727636,0.6848044777562936-0.7509776311892336,0.7634887598363158,0.7322465782465796-0.794730941426052
0,vegf,OS,clin,0.7030869022057652,0.6834733893557423,0.6492770156426417-0.7176697630688429,0.7631370363444735,0.7318788352494573-0.7943952374394897
0,vegf,OS,cna,0.6754754703443621,0.7170684197711225,0.6839526277403195-0.7501842118019254,0.7656483096816331,0.734505137633703-0.7967914817295633
0,vegf,OS,comb,0.6887323298489395,0.7210351377018044,0.6880614817222981-0.7540087936813107,0.7317039473961364,0.6991286059707785-0.7642792888214943
0,vegf,PFS,cna,0.5633642865421841,0.55829196894489,0.5210709432361329-0.595512994653647,0.5107071070367633,0.4732391163640568-0.5481750977094697
0,vegf,PFS,mut,0.5503981389755992,0.5089105156723964,0.4714398827736316-0.5463811485711613,0.5107072391802527,0.47323924871969486-0.5481752296408106
0,vegf,PFS,clin,0.5768977699012247,0.5560030686612965,0.5187623050601239-0.593243832262469,0.5218780185889093,0.48443732748932167-0.5593187096884968
0,vegf,PFS,comb,0.5814900028799144,0.5085666794527555,0.4710955960696271-0.5460377628358838,0.4814815715889039,0.44403069981426024-0.5189324433635476
0,egfr,OS,mut,0.6744109141703463,0.8545454545454546,0.8127044542576183-0.8963864548332909,0.9531039929537516,0.9280135167937674-0.978194469113736
0,egfr,OS,cna,0.6583747515144165,0.6513043478260869,0.5947473848509524-0.7078613108012215,0.7285794881935841,0.6758041982040339-0.7813547781831343
0,egfr,OS,comb,0.73836154127902,0.5757575757575758,0.5171035664070459-0.6344115851081057,0.7232303364773436,0.6701335318632395-0.7763271410914476
0,egfr,PFS,mut,0.6023060359929925,0.6416326530612245,0.5843189559216054-0.6989463502008436,0.5983949783046576,0.5398021425353265-0.6569878140739887
0,egfr,OS,clin,0.6759129743013591,0.6205882352941177,0.5630007663045112-0.6781757042837241,0.7780041891422145,0.7286829268616422-0.8273254514227868
0,egfr,PFS,cna,0.6095055346700083,0.430921052631579,0.3717327213695966-0.49010938389356135,0.488317590457081,0.42857247454106523-0.5480627063730968
0,egfr,PFS,clin,0.5947234567240189,0.5678246484698098,0.5086155978754543-0.6270336990641654,0.5458016301149157,0.4862914616346087-0.6053117985952227
0,egfr,PFS,comb,0.6236083301900236,0.5819000819000819,0.5229458167466404-0.6408543470535234,0.5335637134423297,0.47393708023439374-0.5931903466502656
