,fold,val_auroc_mean,val_auroc_ci,test_auroc_mean,test_auprc_mean
0,0,0.662301186063751,0.4964828216273664-0.8281195505001355,0.6764346764346765,0.7420417018132642
1,1,0.6686267549763596,0.5315944568849562-0.805659053067763,0.6524161518093556,0.6389003497678992
2,2,0.6768362575842872,0.6124777693965248-0.7411947457720497,0.5892295597484277,0.6758237272306913
3,3,0.6496868911164685,0.6077729121532272-0.6916008700797098,0.5945653557337407,0.6239941681603923
4,4,0.6494140870563792,0.44302377841226054-0.8558043957004977,0.6922136658110255,0.6949970820727522
