,fold,val_auroc_mean,val_auroc_ci,test_auroc_mean,test_auprc_mean
0,0,0.7606737067338714,0.7246969489702839-0.7966504644974588,0.675765360736459,0.47038233208590063
1,1,0.7528398750713234,0.6906783853278239-0.815001364814823,0.7503894755063183,0.6392069954425093
2,2,0.7406988519620098,0.6966991262032501-0.7846985777207695,0.7873242279485972,0.6395411215542269
3,3,0.7397491234845559,0.6768633307815993-0.8026349161875125,0.7426819620253166,0.6400900291031154
4,4,0.7262834451384069,0.7047775605148381-0.7477893297619758,0.762540562466198,0.624525662569508
