,fold,val_auroc_mean,val_auroc_ci,test_auroc_mean,test_auprc_mean
0,0,0.769547067703958,0.7226347651000806-0.8164593703078353,0.6835795332905159,0.46316321595004184
1,1,0.747474548785249,0.6783133352294282-0.8166357623410698,0.7543707806820149,0.6506920932928297
2,2,0.7454098626993364,0.6922619505037354-0.7985577748949374,0.7948260781807173,0.6399670112564392
3,3,0.7470009162710042,0.6892340284076804-0.8047678041343279,0.738792194092827,0.6182726193872773
4,4,0.7286416840157297,0.7018804914232071-0.7554028766082523,0.7527379664683612,0.6136750598852598
