,fold,val_auroc_mean,val_auroc_ci,test_auroc_mean,test_auroc_ci,test_auprc_mean,test_auprc_ci
0,0,0.6066964285714286,0.3237928429181-0.8896000142247571,0.5714285714285715,0.4607719043940739-0.6820852384630691,0.7779298745630014,0.6849903821968941-0.8708693669291088
1,1,0.6950000000000001,0.304535532986675-1.085464467013325,0.4835164835164836,0.3717738565372646-0.5952591104957026,0.6470916427781157,0.5402356535625281-0.7539476319937033
2,2,0.6653571428571429,0.3910784041065568-0.9396358816077289,0.7142857142857144,0.6132704598304933-0.8153009687409355,0.8298208542403589,0.7457916319102195-0.9138500765704983
3,3,0.5894444444444444,0.324178447032948-0.8547104418559408,0.48809523809523814,0.37341988933692116-0.6027705868535551,0.5848059620118444,0.4717601052691175-0.6978518187545714
4,4,0.804861111111111,0.5151241081857036-1.0945981140365184,0.5119047619047619,0.3972294131464449-0.6265801106630788,0.6086048103656464,0.4966355958077713-0.7205740249235215
