,fold,val_auroc_mean,val_auroc_ci,test_auroc_mean,test_auroc_ci,test_auprc_mean,test_auprc_ci
0,0,0.5547083333333334,0.36091336722510625-0.7485032994415605,0.6421568627450981,0.5848617088270532-0.6994520166631429,0.6455626631650457,0.5883898035833601-0.7027355227467313
1,1,0.5278640441683919,0.3228817393799923-0.7328463489567916,0.6168300653594772,0.5587229308297262-0.6749371998892281,0.6220711474049627,0.564118132572596-0.6800241622373294
2,2,0.5976472802559759,0.37941857508576604-0.8158759854261858,0.5939542483660131,0.5352573758265501-0.6526511209054761,0.5399651101389594,0.48039488867463803-0.5995353316032809
3,3,0.5531150793650793,0.4285294977539768-0.6777006609761818,0.6763468013468013,0.6200219406099526-0.7326716620836499,0.6982893913754306,0.6430322432027882-0.7535465395480729
4,4,0.6190531800215594,0.5070125835479177-0.7310937764952011,0.5976430976430976,0.5386091077430679-0.6566770875431274,0.5617943555778848,0.5020628964305861-0.6215258147251835
