,drug,outcome,data_type,val_auroc,test_auroc_mean,test_auroc_ci,test_auprc_mean,test_auprc_ci
0,ib,OS,comb,0.7422554204124803,0.6015406162464986,0.5600149023395223-0.6430663301534748,0.8454033174566973,0.8147396102878394-0.8760670246255552
0,ib,OS,comb,0.74204653622422,0.6148459383753502,0.5735703763859054-0.656121500364795,0.8429720447627358,0.81211263083216-0.8738314586933116
