,fold,val_auroc_mean,val_auroc_ci,test_auroc_mean,test_auroc_ci,test_auprc_mean,test_auprc_ci
0,0,0.6484126984126986,0.5272307723310063-0.7695946244943908,0.6175,0.5287693683105998-0.7062306316894003,0.731908159898178,0.6510340591051056-0.8127822606912505
1,1,0.6830952380952381,0.45612243340481917-0.910068042785657,0.5774999999999999,0.48731615998417444-0.6676838400158254,0.6668451792948801,0.5807904125963682-0.7528999459933919
2,2,0.6502777777777778,0.5287370289109201-0.7718185266446356,0.7475961538461537,0.6669316411598618-0.8282606665324457,0.7498763557946743,0.6694546640016371-0.8302980475877114
3,3,0.6445238095238095,0.42341754127387854-0.8656300777737405,0.5714285714285714,0.47953321129961757-0.6633239315575252,0.7937699878816562,0.7186381051640638-0.8689018705992486
4,4,0.6981712962962963,0.39623832277218024-1.0001042698204123,0.5937499999999999,0.5040819199305943-0.6834180800694055,0.6163183179930531,0.5275358030291882-0.705100832956918
