,fold,val_auroc_mean,val_auroc_ci,test_auroc_mean,test_auroc_ci,test_auprc_mean,test_auprc_ci
0,0,0.6530280655960896,0.5677257788755108-0.7383303523166684,0.6911486571680746,0.6567117429574616-0.7255855713786876,0.7176292153830448,0.684076808232128-0.7511816225339616
1,1,0.6460364932304422,0.5330290663413615-0.7590439201195229,0.6500550055005502,0.6155439483662815-0.6845660626348189,0.5611431189631435,0.5252359146076742-0.5970503233186129
2,2,0.660396896896897,0.5862413343991906-0.7345524593946033,0.5755739795918368,0.5385279579848876-0.6126200011987859,0.6275890736472987,0.5913531869498295-0.6638249603447678
3,3,0.6577709094871566,0.5640593252124899-0.7514824937618232,0.617479777553084,0.5810523445437142-0.6539072105624538,0.6047375904908948,0.5680924628859774-0.6413827180958123
4,4,0.6372894736842106,0.4829842192873649-0.7915947280810564,0.7196256038647344,0.6863300084949598-0.752921199234509,0.6762783004911168,0.6415955973903862-0.7109610035918474
