,fold,val_auroc_mean,val_auroc_ci,test_auroc_mean,test_auroc_ci,test_auprc_mean,test_auprc_ci
0,0,0.6161048005162107,0.5858328463304732-0.6463767547019483,0.5460643688003995,0.5148250037484888-0.5773037338523103,0.36833240992830524,0.33806694106996105-0.39859787878664943
1,1,0.6004258386137722,0.5107787260272315-0.6900729512003129,0.576192949050834,0.5460072900488494-0.6063786080528185,0.4669708224063311,0.4364951731211019-0.49744647169156025
2,2,0.6139532882164461,0.5523462388052781-0.6755603376276141,0.5301419632644823,0.498948798570354-0.5613351279586105,0.37449495006637945,0.34424543544984754-0.40474446468291136
3,3,0.6003504547278826,0.5508652717726574-0.6498356376831078,0.6438884493670887,0.6138428073062937-0.6739340914278836,0.5225564715791667,0.491215622182491-0.5538973209758425
4,4,0.5853183745855502,0.5295752051642576-0.6410615440068429,0.5988034072471605,0.5682885813476771-0.6293182331466439,0.45401651891207684,0.4230197999392317-0.48501323788492195
