,fold,val_auroc_mean,val_auroc_ci,test_auroc_mean,test_auroc_ci,test_auprc_mean,test_auprc_ci
0,0,0.5764274716051668,0.4890567858702453-0.6637981573400884,0.5908649173955296,0.5551008783208538-0.6266289564702054,0.29865713791703946,0.2653666057224316-0.33194767011164733
1,1,0.594009077778184,0.4816076221561069-0.7064105334002612,0.49618736383442263,0.4599146059106418-0.5324601217582035,0.2778953420952315,0.24539679792241256-0.31039388626805037
2,2,0.603732710567793,0.5077866445795415-0.6996787765560445,0.4783088235294118,0.4426281612952838-0.5139894857635398,0.29708877447798065,0.2644476339669167-0.32972991498904464
3,3,0.5496227272597705,0.4359832622978269-0.663262192221714,0.6043170559094125,0.5699113552645582-0.6387227565542669,0.27330810926599813,0.24195174282766435-0.3046644757043319
4,4,0.5859469548762204,0.5531506233855364-0.6187432863669043,0.5238186707645024,0.4879615178221824-0.5596758237068225,0.30057171494321555,0.2676528550652285-0.3334905748212026
