,fold,val_auroc_mean,val_auroc_ci,test_auroc_mean,test_auroc_ci,test_auprc_mean,test_auprc_ci
0,0,0.6749693655658648,0.6028578093968128-0.7470809217349169,0.7330434782608696,0.6805438823885047-0.7855430741332344,0.7720285459615062,0.7222401952987328-0.8218168966242795
1,1,0.6815311471131394,0.48710887824807747-0.8759534159782014,0.7452173913043478,0.6935046921527105-0.7969300904559852,0.8676264813947678,0.8274068781971919-0.9078460845923437
2,2,0.7075107746742422,0.6218440037872002-0.7931775455612842,0.7204347826086956,0.667173731832294-0.7736958333850973,0.8067003791819067,0.7598360443524279-0.8535647140113856
3,3,0.7424520321113418,0.64298267657925-0.8419213876434336,0.6434782608695652,0.5866347657373788-0.7003217560017515,0.7271230087626012,0.6742592270118155-0.7799867905133868
4,4,0.7430483474447177,0.5756342069491096-0.9104624879403258,0.7735507246376812,0.723526444668536-0.8235750046068263,0.8471682771133224,0.8041609376456443-0.8901756165810005
