,fold,val_auroc_mean,val_auroc_ci,test_auroc_mean,test_auroc_ci,test_auprc_mean,test_auprc_ci
0,0,0.6069583333333333,0.496131566610568-0.7177851000560985,0.5261437908496732,0.4664641099093148-0.5858234717900316,0.5561970189366403,0.4968142538729531-0.6155797840003275
1,1,0.6006124913733609,0.5463382853183765-0.6548866974283454,0.5134803921568627,0.4537406854490723-0.5732200988646531,0.541846484841884,0.4822947220388548-0.6013982476449132
2,2,0.6325051759834368,0.41017280664306693-0.8548375453238066,0.7148692810457516,0.660907496676377-0.7688310654151262,0.7199507255341708,0.6662822087805986-0.773619242287743
3,3,0.5947817460317459,0.4845227116004516-0.7050407804630403,0.6948653198653199,0.6394319145762801-0.7502987251543596,0.7229194724253669,0.66903998951714-0.7767989553335938
4,4,0.630300035932447,0.5416656429215552-0.7189344289433388,0.5909090909090908,0.5317194500716523-0.6500987317465293,0.59203348536008,0.5328690329533636-0.6511979377667965
