,fold,val_auroc_mean,val_auroc_ci,test_auroc_mean,test_auroc_ci,test_auprc_mean,test_auprc_ci
0,0,0.5063253576904833,0.48741079557381783-0.5252399198071487,0.5,0.4686272097430921-0.531372790256908,0.6594488188976377,0.6297140282938256-0.6891836095014499
1,1,0.5034913195635765,0.49355321611159236-0.5134294230155606,0.49907679879983846,0.4685344897733431-0.5296191078263338,0.6895175783924415,0.6612542188858648-0.7177809378990183
2,2,0.5033619288486598,0.4928365965210963-0.5138872611762233,0.5,0.46875-0.53125,0.673828125,0.6445274355510547-0.7031288144489453
3,3,0.5028969621046038,0.4913091136861885-0.5144848105230191,0.5,0.4686272097430921-0.531372790256908,0.6889763779527559,0.6599306680783239-0.7180220878271879
4,4,0.5139346540744987,0.4946008744281949-0.5332684337208025,0.4941860465116279,0.46305951068856654-0.5253125823346892,0.16666666666666666,0.14346474806709564-0.18986858526623768
