,fold,val_auroc_mean,val_auroc_ci,test_auroc_mean,test_auprc_mean
0,0,0.6526335850526929,0.606885053698219-0.6983821164071667,0.6074874686716792,0.5698314705081067
1,1,0.6225570592477068,0.5401861325876262-0.7049279859077874,0.5999108932947205,0.6037078563178758
2,2,0.6068071016659644,0.5278169330092181-0.6857972703227108,0.5459685799865517,0.5157741357451835
3,3,0.5806838705631506,0.5338836394902073-0.6274841016360939,0.6246201550387597,0.634440189364166
4,4,0.5695655616482607,0.5138397397401961-0.6252913835563252,0.6401203007518798,0.6218046906544047
