,fold,val_auroc_mean,val_auroc_ci,test_auroc_mean,test_auprc_mean
0,0,0.7586037427403178,0.7196464601434855-0.7975610253371501,0.7014097744360902,0.6361702813960106
1,1,0.763773540608073,0.6871671989138545-0.8403798823022915,0.6687736689685899,0.652490746023513
2,2,0.7401977402149521,0.7107037847462941-0.7696916956836101,0.6955804144507611,0.675074262467324
3,3,0.7338609996237301,0.6960522176490493-0.7716697815984108,0.7065116279069767,0.7037983985365144
4,4,0.7173996094733395,0.6616695142328115-0.7731297047138674,0.7487518796992482,0.713067930167391
