,fold,val_auroc_mean,val_auroc_ci,test_auroc_mean,test_auroc_ci,test_auprc_mean,test_auprc_ci
0,0,0.5240305010893246,0.23046679777486045-0.8175942044037887,0.5476190476190477,0.4551934155749355-0.6400446796631598,0.7868365606032488,0.7107864891889908-0.8628866320175068
1,1,0.6103812636165578,0.28789498947059505-0.9328675377625204,0.29166666666666663,0.20726262561652575-0.3760707077168075,0.630312475506966,0.5406736102586347-0.7199513407552973
2,2,0.5134453781512606,0.2751979395675507-0.7516928167349705,0.675,0.5880249738579298-0.7619750261420702,0.9174777012948552,0.8663819936265698-0.9685734089631406
3,3,0.504967320261438,0.2034764712690617-0.8064581692538142,0.5,0.4087129070824723-0.5912870929175277,0.7941593633513013,0.7203419604906486-0.8679767662119541
4,4,0.4356209150326798,0.1939777263301372-0.6772641037352224,0.3831168831168832,0.29284176014736496-0.4733920060864014,0.7341141155548305,0.652073213035799-0.816155018073862
