,fold,val_auroc_mean,val_auroc_ci,test_auroc_mean,test_auroc_ci,test_auprc_mean,test_auprc_ci
0,0,0.5794117647058824,0.40388049555031325-0.7549430338614516,0.5357142857142857,0.44310377581024274-0.6283247956183287,0.8158866995073892,0.7439155383590111-0.8878578606557673
1,1,0.6010457516339869,0.3890909430705376-0.8130005601974362,0.40773809523809523,0.3164848022545833-0.49899138822160716,0.6815794297325618,0.5950707276193624-0.7680881318457612
2,2,0.576750700280112,0.30315621646029767-0.8503451840999263,0.375,0.28510063097149047-0.46489936902850953,0.7401779947026729,0.6587437540730867-0.821612235332259
3,3,0.5696732026143791,0.25853259875059553-0.8808138064781628,0.5738636363636364,0.48357813305641645-0.6641491396708563,0.856060606060606,0.791971905857488-0.9201493062637239
4,4,0.5328431372549021,0.29363191546721146-0.7720543590425927,0.5194805194805194,0.4267033467974666-0.6122576921635723,0.8016564548848663,0.7276100148376544-0.8757028949320781
