,fold,val_auroc_mean,val_auroc_ci,test_auroc_mean,test_auroc_ci,test_auprc_mean,test_auprc_ci
0,0,0.5440952309650371,0.3386990544509235-0.7494914074791507,0.5314625850340136,0.47181958691269443-0.5911055831553327,0.7091668573970165,0.6548859444445593-0.7634477703494736
1,1,0.6263584637268849,0.5516247243820168-0.7010922030717529,0.5714285714285714,0.5135082247086155-0.6293489181485273,0.6489458877770155,0.5930821687553118-0.7048096067987191
2,2,0.6069511440940012,0.5014940541597168-0.7124082340282856,0.6618181818181819,0.6052730195856723-0.7183633440506915,0.8205380671712096,0.7746725264969198-0.8664036078454994
3,3,0.5516691206441899,0.35880725896477883-0.744530982323601,0.5737327188940092,0.5158519384744311-0.6316134993135873,0.6415246582417508,0.5853972626514747-0.6976520538320268
4,4,0.5674696124696125,0.4091761826558068-0.7257630422834181,0.5721343873517787,0.5121348003236186-0.6321339743799388,0.7231288657912681,0.6688673111461022-0.777390420436434
