,fold,val_auroc_mean,val_auroc_ci,test_auroc_mean,test_auroc_ci,test_auprc_mean,test_auprc_ci
0,0,0.6596969696969697,0.4584584947889953-0.860935444604944,0.76,0.6645013089094934-0.8554986910905066,0.9274535965983334,0.8694521212916012-0.9854550719050655
1,1,0.8195454545454546,0.6265781940156858-1.0125127150752233,0.5686274509803921,0.4578821863024083-0.679372715658376,0.9145918805794058,0.8520964517235159-0.9770873094352956
2,2,0.6775641025641026,0.515023964396786-0.8401042407314192,0.7912087912087913,0.7003249532829217-0.8820926291346609,0.9179755100420732,0.8566173512508135-0.979333668833333
3,3,0.7424242424242425,0.5262720666651274-0.9585764181833577,0.43137254901960786,0.320627284341624-0.5421178136975917,0.7765104555898581,0.6833595114321392-0.869661399747577
4,4,0.6439102564102563,0.25826313595923694-1.0295573768612758,0.7777777777777778,0.6870559354524749-0.8684996201030807,0.8214014329968278,0.7378205286877505-0.904982337305905
