,fold,val_auroc_mean,val_auroc_ci,test_auroc_mean,test_auprc_mean
0,0,0.6001072780470624,0.5198886688010855-0.6803258872930393,0.5407268170426065,0.4677915162879141
1,1,0.589956566215559,0.5092301895652221-0.6706829428658959,0.5230285141456894,0.516073742839
2,2,0.5405643326803501,0.49712979526921336-0.5839988700914869,0.5577969313527722,0.49331514424719924
3,3,0.56751081775994,0.5152698994699305-0.6197517360499494,0.5836279069767442,0.5775716502514543
4,4,0.5421286274630114,0.470668303328316-0.6135889515977068,0.6658345864661654,0.6768176412822757
