,fold,val_auroc_mean,val_auroc_ci,test_auroc_mean,test_auprc_mean
0,0,0.6302182619077187,0.5811639722330213-0.6792725515824161,0.6314849624060151,0.6101537290837509
1,1,0.606448826952424,0.5398412401406419-0.673056413764206,0.6219091111606148,0.6106758352854228
2,2,0.597930479396741,0.5471094440814263-0.6487515147120558,0.6394950791613181,0.6267616692817916
3,3,0.5781749341527656,0.5452641529325157-0.6110857153730154,0.6453953488372093,0.6690349230888368
4,4,0.5729209598582266,0.5301298512651214-0.6157120684513318,0.6738947368421053,0.6650407893086512
