,fold,val_auroc_mean,val_auroc_ci,test_auroc_mean,test_auroc_ci,test_auprc_mean,test_auprc_ci
0,0,0.7245421245421245,0.64032171215707-0.808762536927179,1.0,1.0-1.0,0.9999999999999998,0.9999999966679989-1.0000000033320007
1,1,0.7223443223443223,0.5988657782512433-0.8458228664374013,1.0,1.0-1.0,0.9999999999999998,0.9999999966679989-1.0000000033320007
2,2,0.726923076923077,0.6262311104267666-0.8276150434193874,1.0,1.0-1.0,0.9999999999999998,0.9999999966679989-1.0000000033320007
3,3,0.7227106227106227,0.5913808302400201-0.8540404151812253,1.0,1.0-1.0,1.0,1.0-1.0
4,4,0.7291208791208792,0.608439500178907-0.8498022580628514,1.0,1.0-1.0,1.0,1.0-1.0
