,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
2,2.4348087310791016,0.024809748522629863,0.028155724207560223,0.0013599677935266482,0.8,0.03,12,4,200,1.0,1.0,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 12), ('min_child_weight', 4), ('n_estimators', 200), ('reg_alpha', 1.0), ('reg_lambda', 1.0), ('subsample', 0.6)])",0.7628733066502463,0.6762238300492611,0.6801108374384236,0.706402658045977,0.03996229741436294,1
7,1.171500603357951,0.0016186364092495727,0.024976650873819988,0.0004436203075964027,0.8,0.075,20,6,100,5.0,0.0,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.075), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 5.0), ('reg_lambda', 0.0), ('subsample', 1.0)])",0.7565232450738917,0.6736838054187193,0.6861145320197044,0.7054405275041051,0.03647568840285306,2
9,1.2782528400421143,0.03980015191079767,0.024517059326171875,0.001108396272918232,0.6,0.075,20,4,100,0.5,1.0,0.6,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 20), ('min_child_weight', 4), ('n_estimators', 100), ('reg_alpha', 0.5), ('reg_lambda', 1.0), ('subsample', 0.6)])",0.7654518165024631,0.6769550492610837,0.6737992610837439,0.7054020422824302,0.0424811431709235,3
3,3.9233948389689126,0.009648443578157773,0.028134743372599285,0.0006462437901608278,0.8,0.05,8,4,400,0.5,1.0,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 400), ('reg_alpha', 0.5), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.762372998768473,0.6732989532019704,0.671567118226601,0.7024130233990148,0.04240399979424112,4
0,0.6965736548105875,0.00490382049171912,0.024112145105997723,0.0016850844781148685,0.8,0.1,12,4,50,1.0,0.5,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.1), ('max_depth', 12), ('min_child_weight', 4), ('n_estimators', 50), ('reg_alpha', 1.0), ('reg_lambda', 0.5), ('subsample', 0.6)])",0.7656057573891626,0.6608682266009853,0.6786483990147782,0.701707461001642,0.04576226861863833,5
1,1.4034032821655273,0.0037561332128713165,0.025828202565511067,0.0012860072485625686,0.8,0.075,12,6,100,0.5,0.5,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 100), ('reg_alpha', 0.5), ('reg_lambda', 0.5), ('subsample', 1.0)])",0.7590632697044335,0.6599445812807883,0.6671798029556649,0.6953958846469622,0.04511643490801246,6
8,3.451859474182129,0.05608674424675307,0.028411865234375,0.0008529635398344393,0.8,0.075,12,2,200,1.0,1.0,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 200), ('reg_alpha', 1.0), ('reg_lambda', 1.0), ('subsample', 1.0)])",0.7481719519704433,0.653440578817734,0.6652170566502463,0.6889431958128078,0.04215610295493319,7
6,1.7169431050618489,0.01182999537447004,0.025965372721354168,0.0003488306531923103,0.8,0.05,12,4,100,0.0,0.5,1.0,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.05), ('max_depth', 12), ('min_child_weight', 4), ('n_estimators', 100), ('reg_alpha', 0.0), ('reg_lambda', 0.5), ('subsample', 1.0)])",0.736087592364532,0.6564039408866996,0.6738377463054187,0.6887764265188835,0.03420276989855537,8
5,5.047698895136516,0.004349343749614248,0.03078802426656087,0.0007201280564452763,0.6,0.05,8,4,400,0.5,0.5,1.0,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 400), ('reg_alpha', 0.5), ('reg_lambda', 0.5), ('subsample', 1.0)])",0.7339324199507391,0.6448583743842364,0.6633697660098523,0.6807201867816093,0.03837815545431724,9
4,0.585466464360555,0.0018071088233942271,0.026208162307739258,0.001446802256188285,0.8,0.5,20,4,50,0.0,0.5,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.5), ('max_depth', 20), ('min_child_weight', 4), ('n_estimators', 50), ('reg_alpha', 0.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.6696620997536946,0.5951739532019704,0.6571351600985222,0.6406570710180625,0.032565488470521084,10
