,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
149,0.1654332160949707,0.003332238959366286,0.010815954208374024,0.00030110484861096493,0.8,0.03,8,4,20,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 20), ('subsample', 0.4)])",0.5234110885733604,0.591446923597025,0.5774083546462062,0.6067348678601875,0.5104006820119351,0.5618803833377429,0.03809795077401869,1
123,0.16725602149963378,0.0033816166269778607,0.011060714721679688,0.00042401560227144715,0.8,0.03,8,4,20,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 20), ('subsample', 0.4)])",0.5234110885733604,0.591446923597025,0.5774083546462062,0.6067348678601875,0.5104006820119351,0.5618803833377429,0.03809795077401869,1
98,0.16679587364196777,0.002908277357188093,0.011107921600341797,0.0003875764277376087,0.8,0.03,8,4,20,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 20), ('subsample', 0.4)])",0.5234110885733604,0.591446923597025,0.5774083546462062,0.6067348678601875,0.5104006820119351,0.5618803833377429,0.03809795077401869,1
117,0.17304434776306152,0.006490679176010267,0.011256265640258788,0.0005453905620917058,0.8,0.03,8,4,20,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 20), ('subsample', 0.4)])",0.5234110885733604,0.591446923597025,0.5774083546462062,0.6067348678601875,0.5104006820119351,0.5618803833377429,0.03809795077401869,1
116,0.16756796836853027,0.0042843645389484585,0.010878372192382812,0.0002829664515453411,0.8,0.03,8,4,20,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 20), ('subsample', 0.4)])",0.5234110885733604,0.591446923597025,0.5774083546462062,0.6067348678601875,0.5104006820119351,0.5618803833377429,0.03809795077401869,1
99,0.16489591598510742,0.002596460344614707,0.010852813720703125,0.00046372949307836424,0.8,0.03,8,4,20,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 20), ('subsample', 0.4)])",0.5234110885733604,0.591446923597025,0.5774083546462062,0.6067348678601875,0.5104006820119351,0.5618803833377429,0.03809795077401869,1
115,0.1771554946899414,0.007917405820357947,0.011717939376831054,0.0009109748789130561,0.8,0.03,8,4,20,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 20), ('subsample', 0.4)])",0.5234110885733604,0.591446923597025,0.5774083546462062,0.6067348678601875,0.5104006820119351,0.5618803833377429,0.03809795077401869,1
114,0.18139295578002929,0.001178811304251193,0.012097978591918945,0.00011323146687039515,0.8,0.03,8,4,20,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 20), ('subsample', 0.4)])",0.5234110885733604,0.591446923597025,0.5774083546462062,0.6067348678601875,0.5104006820119351,0.5618803833377429,0.03809795077401869,1
129,0.16464133262634278,0.0006196630398718301,0.01069812774658203,0.00013137035922602294,0.8,0.03,8,4,20,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 20), ('subsample', 0.4)])",0.5234110885733604,0.591446923597025,0.5774083546462062,0.6067348678601875,0.5104006820119351,0.5618803833377429,0.03809795077401869,1
66,0.16292972564697267,0.0015982139116607103,0.010969018936157227,0.000248227227120457,0.8,0.03,8,4,20,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 20), ('subsample', 0.4)])",0.5234110885733604,0.591446923597025,0.5774083546462062,0.6067348678601875,0.5104006820119351,0.5618803833377429,0.03809795077401869,1
65,0.16408977508544922,0.0022203373904785178,0.01072087287902832,0.00013484113429580358,0.8,0.03,8,4,20,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 20), ('subsample', 0.4)])",0.5234110885733604,0.591446923597025,0.5774083546462062,0.6067348678601875,0.5104006820119351,0.5618803833377429,0.03809795077401869,1
38,0.16670665740966797,0.0026295199836514453,0.01078486442565918,0.00026421804672964103,0.8,0.03,8,4,20,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 20), ('subsample', 0.4)])",0.5234110885733604,0.591446923597025,0.5774083546462062,0.6067348678601875,0.5104006820119351,0.5618803833377429,0.03809795077401869,1
109,0.1631545066833496,0.0013732049057375117,0.010766553878784179,0.0003365436603267348,0.8,0.03,8,4,20,0.4,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 4), ('n_estimators', 20), ('subsample', 0.4)])",0.5234110885733604,0.591446923597025,0.5774083546462062,0.6067348678601875,0.5104006820119351,0.5618803833377429,0.03809795077401869,1
